project,category,file,line,pattern,severity,status,notes
hiprand,python,python/hiprand/hiprand/hip.py,61,/opt/rocm,medium,untriaged,hardcoded library search path for HIP runtime
hiprand,shell,install,32,/opt/rocm,low,untriaged,rocm_path default
hiprand,shell,install,109,/opt/rocm,low,untriaged,hardcoded rpath
hipsolver,cmake-build,CMakeLists.txt,30,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
hipsolver,cmake-build,CMakeLists.txt,52,/opt/rocm,high,untriaged,find_package(ROCM PATHS /opt/rocm)
hipsolver,cmake-build,CMakeLists.txt,94,/opt/rocm,high,untriaged,HIP_PATH hardcoded fallback
hipsolver,cmake-build,CMakeLists.txt,96,$ENV{HIP_PATH},medium,untriaged,env var for HIP_PATH
hipsolver,cmake-build,CMakeLists.txt,100,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm paths
hipsolver,cmake-build,CMakeLists.txt,152,/opt/rocm,high,untriaged,find_package(hip PATHS /opt/rocm)
hipsolver,cmake-build,CMakeLists.txt,275,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE on Windows (C:/hipSDK)
hipsolver,cmake-build,CMakeLists.txt,328,/opt/rocm,low,untriaged,find_program PATHS for clang-offload-bundler
hipsolver,cmake-build,CMakeLists.txt,336,/opt/rocm,low,untriaged,find_program PATHS for llvm-objcopy
hipsolver,cmake-build,library/CMakeLists.txt,27,/opt/rocm,high,untriaged,CMAKE_MODULE_PATH appends /opt/rocm paths
hipsolver,cmake-build,library/CMakeLists.txt,50,/opt/rocm,high,untriaged,find_package(hip PATHS /opt/rocm)
hipsolver,cmake-build,library/src/CMakeLists.txt,128,/opt/rocm,high,untriaged,find_package(rocblas PATHS /opt/rocm)
hipsolver,cmake-build,library/src/CMakeLists.txt,139,/opt/rocm,high,untriaged,find_package(rocsolver PATHS /opt/rocm)
hipsolver,cmake-build,library/src/CMakeLists.txt,158,/opt/rocm,high,untriaged,find_package(rocsparse PATHS /opt/rocm)
hipsolver,cmake-build,clients/CMakeLists.txt,28,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default for clients
hipsolver,cmake-build,clients/CMakeLists.txt,67,/opt/rocm,high,untriaged,find_package(hipsolver PATHS /opt/rocm)
hipsolver,cmake-build,clients/gtest/CMakeLists.txt,31,/opt/rocm,high,untriaged,find_package(hipblas PATHS /opt/rocm)
hipsolver,cmake-build,clients/gtest/CMakeLists.txt,42,/opt/rocm,high,untriaged,find_package(hipsparse PATHS /opt/rocm)
hipsolver,cmake-build,clients/benchmarks/CMakeLists.txt,29,/opt/rocm,high,untriaged,find_package(hipsparse PATHS /opt/rocm)
hipsolver,cmake-build,deps/CMakeLists.txt,34,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to build-tree package dir (deps only)
hipsolver,python,rmake.py,133,/opt/rocm,low,untriaged,ROCM_PATH env fallback
hipsolver,shell,install.sh,370,/opt/rocm,low,untriaged,cmake_prefix_path default
hipsolver,shell,install.sh,372,/opt/rocm,low,untriaged,rocm_path default
hipsolver,shell,install.sh,512,/opt/rocm,low,untriaged,hardcoded rpath
hipsparse,cmake-build,CMakeLists.txt,34,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE overrides user CMAKE_INSTALL_PREFIX to /opt/rocm
hipsparse,cmake-build,CMakeLists.txt,32,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to build-tree package dir on deps build
hipsparse,cmake-build,cmake/hipsparse_clientmatrices.cmake,4,/opt/rocm,medium,untriaged,find_program(hipsparse_mtx2csr PATHS /opt/rocm/bin)
hipsparse,toolchain,toolchain-linux.cmake,9,/opt/rocm,low,untriaged,ROCM_PATH default
hipsparse,toolchain,toolchain-linux.cmake,7,$ENV{ROCM_PATH},low,untriaged,env var for rocm_bin
hipsparse,toolchain,toolchain-windows.cmake,3,$ENV{HIP_PATH},low,untriaged,env var for HIP_DIR
hipsparse,toolchain,toolchain-windows.cmake,6,$ENV{HIP_DIR},low,untriaged,env var fallback for HIP_DIR
hipsparse,python,rmake.py,122,/opt/rocm,low,untriaged,ROCM_PATH env fallback
hipsparse,python,rmake.py,184,/opt/rocm,low,untriaged,rocsparse_path default fallback
hipsparse,shell,install.sh,278,/opt/rocm,low,untriaged,rocm_path default
hipsparse,shell,install.sh,385,/opt/rocm,low,untriaged,hardcoded rpath
hipsparse,shell,install.sh,533,/opt/rocm,low,untriaged,CPACK_PACKAGING_INSTALL_PREFIX=/opt/rocm
hipsparselt,cmake-build,CMakeLists.txt,37,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE overrides user CMAKE_INSTALL_PREFIX to /opt/rocm
hipsparselt,cmake-build,CMakeLists.txt,35,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE on Windows (C:/hipSDK)
hipsparselt,cpp-install,library/src/hcc_detail/rocsparselt/src/tensile_host.cpp,66,/opt/rocm,high,untriaged,#define ROCSPARSELT_LIB_PATH hardcoded
hipsparselt,cpp-install,library/src/hcc_detail/rocsparselt/src/spmm/hip/kernel_launcher.cpp,52,/opt/rocm,high,untriaged,#define ROCSPARSELT_LIB_PATH hardcoded
hipsparselt,shell,install.sh,320,/opt/rocm,low,untriaged,rocm_path default
hipsparselt,shell,install.sh,559,/opt/rocm,low,untriaged,hardcoded rpath
hiptensor,cmake-build,CMakeLists.txt,39,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
hiptensor,cmake-build,CMakeLists.txt,47,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
hiptensor,cmake-build,CMakeLists.txt,47,$ENV{ROCM_PATH},medium,untriaged,env var in CMAKE_PREFIX_PATH
hiptensor,cmake-build,samples/CMakeLists.txt,72,/opt/rocm,medium,untriaged,CMAKE_CXX_COMPILER hardcoded to /opt/rocm/bin/amdclang++
hiptensor,cmake-build,samples/CMakeLists.txt,82,/opt/rocm,high,untriaged,find_package(hiptensor PATHS /opt/rocm)
hiptensor,cmake-build,samples/CMakeLists.txt,85,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
hiptensor,cmake-build,samples/CMakeLists.txt,85,$ENV{ROCM_PATH},medium,untriaged,env var in CMAKE_PREFIX_PATH
miopen,cmake-build,CMakeLists.txt,52,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
miopen,cmake-build,CMakeLists.txt,145,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm paths
miopen,cmake-build,CMakeLists.txt,201,/opt/rocm,high,untriaged,find_path PATHS /opt/rocm/llvm
miopen,cmake-build,CMakeLists.txt,227,/opt/rocm,high,untriaged,find_package(hip PATHS /opt/rocm)
miopen,cmake-build,CMakeLists.txt,344,/opt/rocm,high,untriaged,find_path PATHS /opt/rocm
miopen,cmake-build,CMakeLists.txt,363,/opt/rocm,high,untriaged,find_package(rocblas PATHS /opt/rocm)
miopen,cmake-build,CMakeLists.txt,373,/opt/rocm,high,untriaged,find_package(hipblaslt PATHS /opt/rocm)
miopen,cmake-build,CMakeLists.txt,373,$ENV{HIP_PATH},medium,untriaged,env var in find_package PATHS
miopen,cmake-build,CMakeLists.txt,375,/opt/rocm,high,untriaged,find_package(hipblas-common PATHS /opt/rocm)
miopen,cmake-build,CMakeLists.txt,375,$ENV{HIP_PATH},medium,untriaged,env var in find_package PATHS
miopen,cmake-build,CMakeLists.txt,394,/opt/rocm,high,untriaged,find_path PATHS /opt/rocm/llvm
miopen,cmake-build,CMakeLists.txt,449,/opt/rocm,high,untriaged,find_path PATHS /opt/rocm
miopen,cmake-build,cmake/rocm-path.cmake,28,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
miopen,cmake-build,cmake/FindOpenCL.cmake,37,/opt/rocm,high,untriaged,PATHS /opt/rocm/opencl/include
miopen,cmake-build,cmake/FindOpenCL.cmake,56,/opt/rocm,high,untriaged,PATHS /opt/rocm/opencl/lib
